obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""455.06377""","=""0.00015""","=""455.063968""","=""0.000021""","=""21""","=""""",,"=""90638.823""","=""112607.597""","=""3d6.(5D).5p""","=""4D*""","=""5/2""","=""3d6.(5D).7s""","=""6D""","=""7/2""",,"=""""","=""L18349c139""",
"=""455.58881""","=""0.00006""","=""455.588690""","=""0.000021""","=""400""","=""2.3e+05""",C,"=""22810.3459""","=""44753.8179""","=""3d6.(3F2).4s""","=""b 4F""","=""7/2""","=""3d6.(5D).4p""","=""z 4F*""","=""7/2""",,"=""T7589""","=""L18349c139""",
"=""455.7940""","=""0.0006""","=""455.79404""","=""0.00005""","=""12""","=""""",,"=""83305.229""","=""105238.815""","=""3d6.(1F).4p""","=""v 2G*""","=""7/2""","=""3d6.(3P2).4d""","=""2D""","=""5/2""",,"=""""","=""L18349c139""",
"=""457.3341""","=""0.0007""","=""457.33384""","=""0.00003""","=""10""","=""""",,"=""88157.176""","=""110016.915""","=""3d6.(5D).4d""","=""4P""","=""3/2""","=""3d6.(3H).5p""","=""4G*""","=""5/2""",,"=""""","=""L18349c139""",
"=""457.6328""","=""0.0002""","=""457.6326""","=""0.0006""","=""100*""","=""""",,"=""92089.043""","=""113934.512""","=""3d5.(4G).4s.4p.(3P*)""","=""x 4H*""","=""7/2""","=""3d6.(5D).6d""","=""6D""","=""5/2""",,"=""""","=""L18349c148""",
"=""457.6328""","=""0.0002""","=""457.633300""","=""0.000021""","=""100*""","=""6.4e+04""",C,"=""22939.3512""","=""44784.7859""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""","=""3d6.(5D).4p""","=""z 4D*""","=""5/2""",,"=""T7589""","=""L18349c148""",
"=""457.7483""","=""0.0003""","=""457.74712""","=""0.00013""","=""12""","=""""",,"=""92116.529""","=""113956.532""","=""3d5.(4G).4s.4p.(3P*)""","=""x 4H*""","=""9/2""","=""3d6.(5D).6d""","=""6D""","=""9/2""",,"=""""","=""L18349c148""",
"=""458.1268""","=""0.0003""","=""458.12604""","=""0.00004""","=""80bl(Fe II)*""","=""""",,"=""50142.811""","=""71964.750""","=""3d6.(3F1).4s""","=""c 4F""","=""5/2""","=""3d6.(3D).4p""","=""w 4P*""","=""5/2""",,"=""""","=""L18349c148""",
"=""458.1268""","=""0.0003""","=""458.12663""","=""0.00008""","=""80bl(Fe II)*""","=""""",,"=""85184.773""","=""107006.684""","=""3d6.(5D).4d""","=""e 4G""","=""9/2""","=""3d5.(2I).4s.4p.(3P*)""","=""2H*""","=""9/2""",,"=""""","=""L18349c148""",
"=""458.2835""","=""0.0015""","=""458.282971""","=""0.000013""","=""80""","=""3.4e+04""",C,"=""22939.3512""","=""44753.8179""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""","=""3d6.(5D).4p""","=""z 4F*""","=""7/2""",,"=""T7589""","=""L7357,L18198""",
"=""458.38292""","=""0.00002""","=""458.382922""","=""0.000021""","=""1500""","=""7.2e+05""",C+,"=""22637.1950""","=""44446.9051""","=""3d6.(3F2).4s""","=""b 4F""","=""9/2""","=""3d6.(5D).4p""","=""z 4D*""","=""7/2""",,"=""T7589""","=""L18349c139""",
"=""459.5868""","=""0.0003""","=""459.58654""","=""0.00004""","=""110""","=""""",,"=""57493.333""","=""79245.926""","=""3d5.4s2""","=""d 4P""","=""3/2""","=""3d5.(6S).4s.4p.(1P*)""","=""x 6P*""","=""3/2""",,"=""""","=""L18349c139""",
"=""459.60084""","=""0.00012""","=""459.60089""","=""0.00004""","=""180""","=""5.8e+05""",D+,"=""50212.836""","=""71964.750""","=""3d6.(3P1).4s""","=""c 4P""","=""5/2""","=""3d6.(3D).4p""","=""w 4P*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""459.84853""","=""0.00017""","=""459.848536""","=""0.000021""","=""120""","=""1.1e+06""",D+,"=""62945.045""","=""84685.245""","=""3d6.(3F2).4p""","=""x 4D*""","=""7/2""","=""3d6.(5D).4d""","=""f 4D""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""462.0513""","=""0.0015""","=""462.051281""","=""0.000013""","=""60""","=""2.5e+04""",C+,"=""22810.3459""","=""44446.9051""","=""3d6.(3F2).4s""","=""b 4F""","=""7/2""","=""3d6.(5D).4p""","=""z 4D*""","=""7/2""",,"=""T7589""","=""L7357,L18198""",
"=""462.8779""","=""0.0003""","=""462.877700""","=""0.000022""","=""50""","=""1.0e+06""",D+,"=""63272.981""","=""84870.911""","=""3d6.(3F2).4p""","=""x 4D*""","=""5/2""","=""3d6.(5D).4d""","=""f 4D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""462.93317""","=""0.00005""","=""462.933113""","=""0.000019""","=""350""","=""1.7e+05""",C,"=""22637.1950""","=""44232.5398""","=""3d6.(3F2).4s""","=""b 4F""","=""9/2""","=""3d6.(5D).4p""","=""z 4F*""","=""9/2""",,"=""T7589""","=""L18349c139""",
"=""""","=""""","=""463.227624""","=""0.000013""","=""""","=""2.01e-03""",C,"=""0.0000""","=""21581.6151""","=""3d6.(5D).4s""","=""a 6D""","=""9/2""","=""3d6.(3H).4s""","=""a 4H""","=""9/2""",M1,"=""T6677""","=""""",
"=""463.37554""","=""0.00014""","=""463.37460""","=""0.00003""","=""20bl(Fe I)""","=""""",,"=""88853.535""","=""110428.305""","=""3d6.(5D).5p""","=""6D*""","=""7/2""","=""3d6.(3G).4d""","=""4F""","=""5/2""",,"=""""","=""L18349c148""",
"=""463.53177""","=""0.00009""","=""463.53170""","=""0.00004""","=""220""","=""1.0e+06""",D+,"=""48039.109""","=""69606.567""","=""3d7""","=""d 2D1""","=""5/2""","=""3d6.(3G).4p""","=""y 2F*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""""","=""""","=""463.967372""","=""0.000022""","=""""","=""4.67e-01""",C+,"=""862.6118""","=""22409.8178""","=""3d6.(5D).4s""","=""a 6D""","=""3/2""","=""3d6.(3P2).4s""","=""b 4P""","=""1/2""",M1,"=""T6677""","=""""",
"=""464.0802""","=""0.0006""","=""464.07943""","=""0.00013""","=""28bl(Fe II)*""","=""""",,"=""103040.370""","=""124582.373""","=""3d6.(5D<4>).4f""","=""2[7]*""","=""15/2""","=""3d6.(3H).5d""","=""2K""","=""15/2""",,"=""""","=""L18349c148""",
"=""464.0802""","=""0.0006""","=""464.08038""","=""0.00003""","=""28bl(Fe II)*""","=""7.1e+05""",D+,"=""62171.624""","=""83713.583""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""7/2""","=""3d6.(5D).4d""","=""6D""","=""7/2""",,"=""T6892c83""","=""L18349c148""",
"=""464.4111""","=""0.0002""","=""464.410922""","=""0.000020""","=""12""","=""""",,"=""91843.485""","=""113370.112""","=""3d6.(5D).5p""","=""w 6P*""","=""3/2""","=""3d6.(5D).7s""","=""6D""","=""1/2""",,"=""""","=""L18349c139""",
"=""464.6816""","=""0.0003""","=""464.681252""","=""0.000020""","=""70bl(Ne)""","=""""",,"=""63948.803""","=""85462.907""","=""3d6.(3F2).4p""","=""y 4G*""","=""9/2""","=""3d6.(5D).4d""","=""e 4G""","=""7/2""",,"=""""","=""L18349c148""",
"=""465.6981""","=""0.0004""","=""465.697623""","=""0.000020""","=""40""","=""1.4e+04""",C,"=""23317.6351""","=""44784.7859""","=""3d5.4s2""","=""a 6S""","=""5/2""","=""3d6.(5D).4p""","=""z 4D*""","=""5/2""",,"=""T7589""","=""L18349c139""",
"=""466.2027""","=""0.0003""","=""466.20246""","=""0.00003""","=""6""","=""""",,"=""88723.398""","=""110167.303""","=""3d6.(5D).5p""","=""6D*""","=""9/2""","=""3d6.(3G).4d""","=""4F""","=""7/2""",,"=""""","=""L18349c139""",
"=""""","=""""","=""466.444715""","=""0.000024""","=""""","=""1.47e-01""",C+,"=""977.0498""","=""22409.8178""","=""3d6.(5D).4s""","=""a 6D""","=""1/2""","=""3d6.(3P2).4s""","=""b 4P""","=""1/2""",M1,"=""T6677""","=""""",
"=""466.6744""","=""0.0004""","=""466.674958""","=""0.000020""","=""60""","=""1.3e+04""",E,"=""22810.3459""","=""44232.5398""","=""3d6.(3F2).4s""","=""b 4F""","=""7/2""","=""3d6.(5D).4p""","=""z 4F*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""467.0170""","=""0.0015""","=""467.017010""","=""0.000020""","=""16""","=""3.e+03""",E,"=""20830.5534""","=""42237.0575""","=""3d6.(3P2).4s""","=""b 4P""","=""5/2""","=""3d6.(5D).4p""","=""z 6F*""","=""7/2""",,"=""T6892c83""","=""L7357""",
"=""468.2065""","=""0.0007""","=""468.20565""","=""0.00007""","=""6""","=""""",,"=""83868.450""","=""105220.610""","=""3d6.(1F).4p""","=""v 2D*""","=""5/2""","=""3d6.(3H).4d""","=""4F""","=""7/2""",,"=""""","=""L18349c139""",
"=""468.6386""","=""0.0011""","=""468.63935""","=""0.00003""","=""31""","=""""",,"=""60402.333""","=""81734.733""","=""3d6.(3P2).4p""","=""y 4P*""","=""5/2""","=""3d5.4s2""","=""2F2""","=""7/2""",,"=""""","=""L18349c139""",
"=""469.01376""","=""0.00003""","=""469.013689""","=""0.000020""","=""130bl(Fe I)""","=""""",,"=""85728.846""","=""107044.220""","=""3d6.(5D).4d""","=""4S""","=""3/2""","=""3d6.(5D).6p""","=""6D*""","=""3/2""",,"=""""","=""L18349c148""",
"=""469.6366""","=""0.0004""","=""469.637160""","=""0.000022""","=""8""","=""""",,"=""86599.791""","=""107886.868""","=""3d6.(5D).4d""","=""e 4F""","=""5/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""7/2""",,"=""""","=""L18349c139""",
"=""470.44038""","=""0.00009""","=""470.4413""","=""0.0007""","=""24""","=""""",,"=""93395.407""","=""114646.097""","=""3d6.(3F1).4p""","=""u 4F*""","=""5/2""","=""3d6.(5D).6d""","=""4G""","=""7/2""",,"=""""","=""L18349c145""",
"=""470.91637""","=""0.00006""","=""470.91644""","=""0.00003""","=""23""","=""""",,"=""91167.936""","=""112397.186""","=""3d6.(5D).5p""","=""w 6P*""","=""7/2""","=""3d6.(5D).7s""","=""6D""","=""9/2""",,"=""""","=""L18349c139""",
"=""""","=""""","=""472.013853""","=""0.000020""","=""""","=""8.e+02""",E,"=""25787.5816""","=""46967.4751""","=""3d6.(3P2).4s""","=""b 2P""","=""3/2""","=""3d6.(5D).4p""","=""z 4P*""","=""5/2""",,"=""T6892c83""","=""""",
"=""472.5307""","=""0.0002""","=""472.531607""","=""0.000025""","=""31""","=""""",,"=""62151.554""","=""83308.241""","=""3d6.(3F2).4p""","=""y 4F*""","=""5/2""","=""3d6.(5D).4d""","=""e 6F""","=""5/2""",,"=""""","=""L18349c145""",
"=""""","=""""","=""472.807038""","=""0.000018""","=""""","=""4.53e-01""",C+,"=""667.6829""","=""21812.0454""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d6.(3P2).4s""","=""b 4P""","=""3/2""",M1,"=""T6677""","=""""",
"=""473.1439""","=""0.0015""","=""473.144766""","=""0.000016""","=""110aff(Fe I)""","=""2.8e+04""",E,"=""23317.6351""","=""44446.9051""","=""3d5.4s2""","=""a 6S""","=""5/2""","=""3d6.(5D).4p""","=""z 4D*""","=""7/2""",,"=""T6892c83""","=""L7357""",
"=""473.2928""","=""0.0004""","=""473.29241""","=""0.00003""","=""6bl(Fe II)*""","=""""",,"=""92358.625""","=""113481.304""","=""3d5.(4G).4s.4p.(3P*)""","=""v 4F*""","=""3/2""","=""3d6.(5D).7s""","=""4D""","=""3/2""",,"=""""","=""L18349c148""",
"=""473.2928""","=""0.0004""","=""473.29258""","=""0.00007""","=""6bl(Fe II)*""","=""9.e+04""",D,"=""83871.208""","=""104993.879""","=""3d6.(1F).4p""","=""v 2G*""","=""9/2""","=""3d6.(3F2).4d""","=""4D""","=""7/2""",,"=""T6892c83""","=""L18349c148""",
"=""473.7594""","=""0.0002""","=""473.75956""","=""0.00007""","=""35bl(Fe I)""","=""""",,"=""73637.285""","=""94739.136""","=""3d5.4s2""","=""4F""","=""3/2""","=""3d5.(4P).4s.4p.(3P*)""","=""4P*""","=""3/2""",,"=""""","=""L18349c148""",
"=""474.0407""","=""0.0009""","=""474.04060""","=""0.00007""","=""2.7""","=""""",,"=""87572.959""","=""108662.300""","=""3d5.(4G).4s.4p.(3P*)""","=""y 6F*""","=""5/2""","=""3d6.(3D).5s""","=""4D""","=""3/2""",,"=""""","=""L18349c139""",
"=""474.2544""","=""0.0005""","=""474.25520""","=""0.00016""","=""13""","=""""",,"=""78841.872""","=""99921.670""","=""3d6.(1D2).4p""","=""w 2P*""","=""1/2""","=""3d6.(3P2).5s""","=""2P""","=""1/2""",,"=""""","=""L18349c139""",
"=""475.61226""","=""0.00015""","=""475.61240""","=""0.00009""","=""18""","=""""",,"=""84359.779""","=""105379.425""","=""3d6.(1F).4p""","=""v 2D*""","=""3/2""","=""3d6.(3F2).4d""","=""4D""","=""5/2""",,"=""""","=""L18349c139""",
"=""""","=""""","=""477.206446""","=""0.000018""","=""""","=""2.30e-02""",C+,"=""862.6118""","=""21812.0454""","=""3d6.(5D).4s""","=""a 6D""","=""3/2""","=""3d6.(3P2).4s""","=""b 4P""","=""3/2""",M1,"=""T6677""","=""""",
"=""478.0008""","=""0.0005""","=""478.001733""","=""0.000021""","=""19""","=""6.e+04""",D,"=""63948.803""","=""84863.382""","=""3d6.(3F2).4p""","=""y 4G*""","=""9/2""","=""3d6.(5D).4d""","=""e 4G""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""478.74400""","=""0.00018""","=""478.74371""","=""0.00004""","=""50""","=""""",,"=""89727.383""","=""110609.548""","=""3d6.(3F1).4p""","=""4G*""","=""5/2""","=""3d6.(3G).4d""","=""4F""","=""3/2""",,"=""""","=""L18349c139""",
"=""478.8459""","=""0.0004""","=""478.8453""","=""0.0007""","=""13*""","=""""",,"=""92089.043""","=""112966.779""","=""3d5.(4G).4s.4p.(3P*)""","=""x 4H*""","=""7/2""","=""3d5.(6S).4p2""","=""6P""","=""7/2""",,"=""""","=""L18349c148""",
"=""478.8459""","=""0.0004""","=""478.84677""","=""0.00003""","=""13*""","=""""",,"=""92358.625""","=""113236.296""","=""3d5.(4G).4s.4p.(3P*)""","=""v 4F*""","=""3/2""","=""3d6.(5D).7s""","=""4D""","=""5/2""",,"=""""","=""L18349c148""",
"=""479.7730""","=""0.0004""","=""479.77244""","=""0.00003""","=""33""","=""""",,"=""82853.704""","=""103691.094""","=""3d6.(5D).4d""","=""e 6F""","=""11/2""","=""3d6.(5D<2>).4f""","=""2[5]*""","=""11/2""",,"=""""","=""L18349c139""",
"=""""","=""""","=""479.827582""","=""0.000021""","=""""","=""6.75e-02""",C+,"=""977.0498""","=""21812.0454""","=""3d6.(5D).4s""","=""a 6D""","=""1/2""","=""3d6.(3P2).4s""","=""b 4P""","=""3/2""",M1,"=""T6677""","=""""",
"=""479.87308""","=""0.00010""","=""479.87378""","=""0.00004""","=""40bl(Fe I)""","=""""",,"=""92154.154""","=""112987.144""","=""3d5.(4D).4s.4p.(3P*)""","=""6F*""","=""7/2""","=""3d6.(5D).7s""","=""6D""","=""5/2""",,"=""""","=""L18349c148""",
"=""480.01283""","=""0.00013""","=""480.012138""","=""0.000021""","=""70bl(Fe I)""","=""""",,"=""82853.704""","=""103680.689""","=""3d6.(5D).4d""","=""e 6F""","=""11/2""","=""3d6.(5D<2>).4f""","=""2[5]*""","=""9/2""",,"=""""","=""L18349c148""",
"=""480.3063""","=""0.0002""","=""480.305234""","=""0.000023""","=""23""","=""""",,"=""86710.911""","=""107525.187""","=""3d6.(5D).4d""","=""e 4F""","=""3/2""","=""3d6.(5D).6p""","=""6P*""","=""5/2""",,"=""""","=""L18349c145""",
"=""481.04927""","=""0.00017""","=""481.04955""","=""0.00003""","=""27""","=""""",,"=""89119.452""","=""109901.523""","=""3d6.(5D).5p""","=""6D*""","=""5/2""","=""3d6.(3G).4d""","=""2G""","=""7/2""",,"=""""","=""L18349c139""",
"=""481.31125""","=""0.00010""","=""481.31168""","=""0.00004""","=""40bl(Fe I)""","=""""",,"=""92216.391""","=""112987.144""","=""3d6.(3P1).4p""","=""u 2D*""","=""3/2""","=""3d6.(5D).7s""","=""6D""","=""5/2""",,"=""""","=""L18349c148""",
"=""481.52346""","=""0.00020""","=""481.523990""","=""0.000023""","=""23bl(Fe I)""","=""""",,"=""92225.549""","=""112987.144""","=""3d6.(5D).5p""","=""4P*""","=""3/2""","=""3d6.(5D).7s""","=""6D""","=""5/2""",,"=""""","=""L18349c148""",
"=""481.6192""","=""0.0008""","=""481.61996""","=""0.00003""","=""100""","=""""",,"=""64087.408""","=""84844.866""","=""3d6.(3F2).4p""","=""y 4G*""","=""5/2""","=""3d6.(5D).4d""","=""e 6G""","=""5/2""",,"=""""","=""L18349c139""",
"=""481.9026""","=""0.0003""","=""481.90248""","=""0.00003""","=""70""","=""""",,"=""60989.444""","=""81734.733""","=""3d6.(3H).4p""","=""z 4H*""","=""9/2""","=""3d5.4s2""","=""2F2""","=""7/2""",,"=""""","=""L18349c139""",
"=""482.08278""","=""0.00004""","=""482.082739""","=""0.000021""","=""330""","=""5.4e+06""",C+,"=""83136.508""","=""103874.040""","=""3d6.(5D).4d""","=""e 6F""","=""7/2""","=""3d6.(5D<1>).4f""","=""2[4]*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""482.60749""","=""0.00004""","=""482.60721""","=""0.00003""","=""34""","=""""",,"=""103706.526""","=""124421.522""","=""3d6.(3H).4d""","=""4K""","=""15/2""","=""3d6.(3F2<4>).4f""","=""2[7]*""","=""15/2""",,"=""""","=""L18349c139""",
"=""482.61366""","=""0.00013""","=""482.613638""","=""0.000021""","=""80""","=""2.6e+06""",D+,"=""83308.241""","=""104022.961""","=""3d6.(5D).4d""","=""e 6F""","=""5/2""","=""3d6.(5D<0>).4f""","=""2[3]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""482.66825""","=""0.00003""","=""482.668232""","=""0.000023""","=""500""","=""7.5e+06""",C+,"=""82978.717""","=""103691.094""","=""3d6.(5D).4d""","=""e 6F""","=""9/2""","=""3d6.(5D<2>).4f""","=""2[5]*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""482.91081""","=""0.00014""","=""482.910829""","=""0.000021""","=""60""","=""1.8e+06""",D+,"=""82978.717""","=""103680.689""","=""3d6.(5D).4d""","=""e 6F""","=""9/2""","=""3d6.(5D<2>).4f""","=""2[5]*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""483.12016""","=""0.00005""","=""483.12005""","=""0.00004""","=""700bl(Fe II)*""","=""""",,"=""83812.352""","=""104505.359""","=""3d6.(5D).4d""","=""6D""","=""5/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""4F*""","=""3/2""",,"=""""","=""L18349c148""",
"=""483.12016""","=""0.00005""","=""483.12023""","=""0.00003""","=""700bl(Fe II)*""","=""8.e+04""",D,"=""61041.734""","=""81734.733""","=""3d6.(3H).4p""","=""z 4G*""","=""5/2""","=""3d5.4s2""","=""2F2""","=""7/2""",,"=""T6892c83""","=""L18349c148""",
"=""""","=""""","=""483.319175""","=""0.000014""","=""""","=""5.e+02""",E,"=""21430.3564""","=""42114.8380""","=""3d6.(3H).4s""","=""a 4H""","=""11/2""","=""3d6.(5D).4p""","=""z 6F*""","=""9/2""",,"=""T6892c83""","=""""",
"=""483.85511""","=""0.00020""","=""483.855065""","=""0.000021""","=""70""","=""7.0e+05""",D+,"=""83308.241""","=""103969.814""","=""3d6.(5D).4d""","=""e 6F""","=""5/2""","=""3d6.(5D<1>).4f""","=""2[3]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""""","=""""","=""483.998677""","=""0.000019""","=""""","=""4.e+02""",E,"=""21581.6151""","=""42237.0575""","=""3d6.(3H).4s""","=""a 4H""","=""9/2""","=""3d6.(5D).4p""","=""z 6F*""","=""7/2""",,"=""T6892c83""","=""""",
"=""484.32960""","=""0.00003""","=""484.32966""","=""0.00003""","=""1100""","=""1.2e+05""",D,"=""61093.406""","=""81734.733""","=""3d6.(3P2).4p""","=""z 2D*""","=""5/2""","=""3d5.4s2""","=""2F2""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""484.79978""","=""0.00003""","=""484.79978""","=""0.00003""","=""270""","=""""",,"=""89444.455""","=""110065.766""","=""3d5.(4P).4s.4p.(3P*)""","=""6P*""","=""5/2""","=""3d6.(3G).4d""","=""2D""","=""5/2""",,"=""""","=""L18349c139""",
"=""485.6152""","=""0.0003""","=""485.614898""","=""0.000021""","=""50""","=""9.e+05""",D+,"=""83459.721""","=""104046.419""","=""3d6.(5D).4d""","=""e 6F""","=""3/2""","=""3d6.(5D<0>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""485.90296""","=""0.00009""","=""485.902832""","=""0.000021""","=""110""","=""1.9e+06""",D+,"=""83308.241""","=""103882.740""","=""3d6.(5D).4d""","=""e 6F""","=""5/2""","=""3d6.(5D<1>).4f""","=""2[4]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""485.91215""","=""0.00009""","=""485.91230""","=""0.00007""","=""350bl(Fe I)""","=""""",,"=""73637.285""","=""94211.383""","=""3d5.4s2""","=""4F""","=""3/2""","=""3d5.(4P).4s.4p.(3P*)""","=""4P*""","=""5/2""",,"=""""","=""L18349c148""",
"=""486.06798""","=""0.00002""","=""486.067972""","=""0.000019""","=""700""","=""8.5e+06""",C+,"=""82853.704""","=""103421.213""","=""3d6.(5D).4d""","=""e 6F""","=""11/2""","=""3d6.(5D<3>).4f""","=""2[6]*""","=""13/2""",,"=""T6892c83""","=""L18349c139""",
"=""486.61989""","=""0.00005""","=""486.619912""","=""0.000021""","=""270""","=""6.0e+06""",C+,"=""83136.508""","=""103680.689""","=""3d6.(5D).4d""","=""e 6F""","=""7/2""","=""3d6.(5D<2>).4f""","=""2[5]*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""486.99690""","=""0.00016""","=""486.99685""","=""0.00004""","=""60""","=""1.4e+06""",D+,"=""83459.721""","=""103988.001""","=""3d6.(5D).4d""","=""e 6F""","=""3/2""","=""3d6.(5D<1>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""488.08709""","=""0.00008""","=""488.08710""","=""0.00003""","=""400""","=""""",,"=""61156.827""","=""81639.253""","=""3d6.(3H).4p""","=""z 4H*""","=""7/2""","=""3d5.4s2""","=""2F2""","=""5/2""",,"=""""","=""L18349c139""",
"=""488.31840""","=""0.00016""","=""488.318004""","=""0.000024""","=""70""","=""1.7e+06""",D+,"=""82853.704""","=""103326.445""","=""3d6.(5D).4d""","=""e 6F""","=""11/2""","=""3d6.(5D<3>).4f""","=""2[4]*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""488.32923""","=""0.00004""","=""488.32924""","=""0.00003""","=""310""","=""5.8e+06""",C+,"=""82853.704""","=""103325.974""","=""3d6.(5D).4d""","=""e 6F""","=""11/2""","=""3d6.(5D<3>).4f""","=""2[5]*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""488.3926""","=""0.0012""","=""488.3920""","=""0.0010""","=""11""","=""""",,"=""87636.30""","=""108105.938""","=""3d5.(4P).4s.4p.(3P*)""","=""6D*""","=""1/2""","=""3d6.(3F2).4d""","=""2P""","=""3/2""",,"=""""","=""L18349c139""",
"=""""","=""""","=""488.962268""","=""0.000019""","=""""","=""3.41e-01""",C+,"=""384.7872""","=""20830.5534""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d6.(3P2).4s""","=""b 4P""","=""5/2""",M1,"=""T6677""","=""""",
"=""489.3780""","=""0.0015""","=""489.381278""","=""0.000017""","=""20""","=""2.5e+03""",E,"=""22810.3459""","=""43238.6066""","=""3d6.(3F2).4s""","=""b 4F""","=""7/2""","=""3d6.(5D).4p""","=""z 6P*""","=""5/2""",,"=""T6892c83""","=""L7357""",
"=""489.64381""","=""0.00006""","=""489.64347""","=""0.00003""","=""25bl(Fe I)""","=""""",,"=""102584.984""","=""123002.306""","=""3d6.(3G).5s""","=""f 4G""","=""11/2""","=""3d6.(3H<6>).4f""","=""2[5]*""","=""11/2""",,"=""""","=""L18349c139""",
"=""490.10537""","=""0.00009""","=""490.10530""","=""0.00003""","=""130""","=""5.6e+06""",D+,"=""83459.721""","=""103857.804""","=""3d6.(5D).4d""","=""e 6F""","=""3/2""","=""3d6.(5D<1>).4f""","=""2[2]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""490.6837""","=""0.0006""","=""490.684488""","=""0.000024""","=""26""","=""6.7e+05""",D+,"=""82978.717""","=""103352.723""","=""3d6.(5D).4d""","=""e 6F""","=""9/2""","=""3d6.(5D<3>).4f""","=""2[5]*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""490.81454""","=""0.00003""","=""490.814553""","=""0.000024""","=""600""","=""1.85e+07""",C+,"=""83308.241""","=""103676.848""","=""3d6.(5D).4d""","=""e 6F""","=""5/2""","=""3d6.(5D<2>).4f""","=""2[3]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""491.1957""","=""0.0003""","=""491.195821""","=""0.000022""","=""40""","=""1.1e+06""",D+,"=""83308.241""","=""103661.038""","=""3d6.(5D).4d""","=""e 6F""","=""5/2""","=""3d6.(5D<2>).4f""","=""2[2]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""491.3184""","=""0.0003""","=""491.318189""","=""0.000022""","=""50""","=""1.9e+06""",D+,"=""82978.717""","=""103326.445""","=""3d6.(5D).4d""","=""e 6F""","=""9/2""","=""3d6.(5D<3>).4f""","=""2[4]*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""491.32951""","=""0.00002""","=""491.329562""","=""0.000024""","=""1300""","=""2.58e+07""",B+,"=""82978.717""","=""103325.974""","=""3d6.(5D).4d""","=""e 6F""","=""9/2""","=""3d6.(5D<3>).4f""","=""2[5]*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""492.21869""","=""0.00008""","=""492.21932""","=""0.00003""","=""180""","=""8.e+06""",D+,"=""83558.569""","=""103869.046""","=""3d6.(5D).4d""","=""e 6F""","=""1/2""","=""3d6.(5D<1>).4f""","=""2[2]*""","=""3/2""",,"=""T6892c83""","=""L18349c145""",
"=""492.31542""","=""0.00019""","=""492.31572""","=""0.00004""","=""180""","=""""",,"=""61332.753""","=""81639.253""","=""3d6.(3P2).4p""","=""y 4P*""","=""3/2""","=""3d5.4s2""","=""2F2""","=""5/2""",,"=""""","=""L18349c139""",
"=""492.39216""","=""0.00002""","=""492.392123""","=""0.000020""","=""5000""","=""4.3e+06""",C,"=""23317.6351""","=""43620.9842""","=""3d5.4s2""","=""a 6S""","=""5/2""","=""3d6.(5D).4p""","=""z 6P*""","=""3/2""",,"=""T7589""","=""L18349c139""",
"=""492.4298""","=""0.0004""","=""492.43013""","=""0.00003""","=""4bl(Fe I)""","=""""",,"=""104119.740""","=""124421.522""","=""3d6.(3H).4d""","=""2K""","=""15/2""","=""3d6.(3F2<4>).4f""","=""2[7]*""","=""15/2""",,"=""""","=""L18349c139""",
"=""492.6523""","=""0.0004""","=""492.652027""","=""0.000022""","=""25""","=""""",,"=""86416.370""","=""106709.008""","=""3d6.(5D).4d""","=""e 4F""","=""7/2""","=""3d6.(5D).6p""","=""4F*""","=""9/2""",,"=""""","=""L18349c139""",
