obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""441.6818""","=""0.0003""","=""441.68187""","=""0.00003""","=""130bl(Ne)""","=""2.1e+05""",D,"=""22409.8178""","=""45044.1916""","=""3d6.(3P2).4s""","=""b 4P""","=""1/2""","=""3d6.(5D).4p""","=""z 4D*""","=""3/2""",,"=""T6892c83""","=""L18349c148""",
"=""442.0990""","=""0.0007""","=""442.098961""","=""0.000023""","=""14""","=""""",,"=""84685.245""","=""107298.265""","=""3d6.(5D).4d""","=""f 4D""","=""7/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4G*""","=""5/2""",,"=""""","=""L18349c139""",
"=""442.3907""","=""0.0007""","=""442.391363""","=""0.000020""","=""11""","=""""",,"=""91575.149""","=""114173.223""","=""3d6.(5D).5p""","=""w 6P*""","=""5/2""","=""3d6.(5D).6d""","=""6D""","=""7/2""",,"=""""","=""L18349c139""",
"=""442.4029""","=""0.0004""","=""442.403129""","=""0.000020""","=""12""","=""""",,"=""90638.823""","=""113236.296""","=""3d6.(5D).5p""","=""4D*""","=""5/2""","=""3d6.(5D).7s""","=""4D""","=""5/2""",,"=""""","=""L18349c139""",
"=""443.04386""","=""0.00010""","=""443.043861""","=""0.000020""","=""50""","=""""",,"=""90042.804""","=""112607.597""","=""3d6.(5D).5p""","=""4F*""","=""9/2""","=""3d6.(5D).7s""","=""6D""","=""7/2""",,"=""""","=""L18349c139""",
"=""""","=""""","=""443.244795""","=""0.000012""","=""""","=""4.88e-02""",C+,"=""384.7872""","=""22939.3512""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""",M1,"=""T6677""","=""""",
"=""443.52653""","=""0.00009""","=""443.526476""","=""0.000020""","=""50""","=""""",,"=""90067.357""","=""112607.597""","=""3d6.(3F1).4p""","=""4G*""","=""9/2""","=""3d6.(5D).7s""","=""6D""","=""7/2""",,"=""""","=""L18349c139""",
"=""444.0428""","=""0.0002""","=""444.04187""","=""0.00014""","=""240""","=""""",,"=""54063.358""","=""76577.436""","=""3d6.(3P1).4s""","=""c 2P""","=""1/2""","=""3d6.(1S2).4p""","=""x 2P*""","=""1/2""",,"=""""","=""L18349c145""",
"=""444.3327""","=""0.0003""","=""444.333200""","=""0.000022""","=""16""","=""""",,"=""90487.827""","=""112987.144""","=""3d6.(5D).5p""","=""6F*""","=""5/2""","=""3d6.(5D).7s""","=""6D""","=""5/2""",,"=""""","=""L18349c139""",
"=""444.52550""","=""0.00005""","=""444.525520""","=""0.000020""","=""90""","=""""",,"=""90386.533""","=""112876.116""","=""3d6.(5D).5p""","=""6F*""","=""9/2""","=""3d6.(5D).7s""","=""4D""","=""7/2""",,"=""""","=""L18349c139""",
"=""444.64398""","=""0.00020""","=""444.64381""","=""0.00003""","=""30bl(Ne)""","=""""",,"=""91915.570""","=""114399.170""","=""3d5.(4D).4s.4p.(3P*)""","=""6F*""","=""3/2""","=""3d6.(5D).6d""","=""114399""","=""3/2""",,"=""""","=""L18349c148""",
"=""444.74970""","=""0.00008""","=""444.749782""","=""0.000020""","=""60""","=""""",,"=""90397.873""","=""112876.116""","=""3d6.(5D).5p""","=""4D*""","=""7/2""","=""3d6.(5D).7s""","=""4D""","=""7/2""",,"=""""","=""L18349c139""",
